iteration,best_fitness
0,0.6724796306581309
1,0.27735062622608664
2,0.040225634323827406
3,0.014803566509728416
4,0.007822217661080716
5,0.007822217661080716
6,0.007822217661080716
7,0.0046511953563170205
8,0.0005143302433979072
9,0.0005143302433979072
10,0.0005143302433979072
11,0.0005143302433979072
12,0.0005143302433979072
13,0.0005143302433979072
14,0.0005143302433979072
15,0.0005143302433979072
16,0.0005143302433979072
17,0.0005143302433979072
18,0.0005143302433979072
19,0.0005143302433979072
20,0.0005143302433979072
21,0.0005143302433979072
22,0.0005143302433979072
23,0.0005143302433979072
24,0.0004051219544194965
25,0.0001662175963761127
26,9.851558999372411e-06
27,9.851558999372411e-06
28,9.851558999372411e-06
29,9.851558999372411e-06
30,9.851558999372411e-06
31,6.814959885227041e-06
32,6.814959885227041e-06
33,2.8598178513020754e-06
34,2.8598178513020754e-06
35,2.8598178513020754e-06
36,3.16886685429463e-07
37,3.16886685429463e-07
38,3.16886685429463e-07
39,3.16886685429463e-07
40,3.16886685429463e-07
41,3.16886685429463e-07
42,4.88719131495265e-08
43,4.88719131495265e-08
44,4.88719131495265e-08
45,1.1331749516958238e-08
46,1.1331749516958238e-08
47,1.1331749516958238e-08
48,1.1331749516958238e-08
49,1.1331749516958238e-08
50,1.1331749516958238e-08
51,1.1331749516958238e-08
52,1.1331749516958238e-08
53,1.1331749516958238e-08
54,1.1331749516958238e-08
55,1.1331749516958238e-08
56,1.1331749516958238e-08
57,1.1331749516958238e-08
58,1.1331749516958238e-08
59,1.1331749516958238e-08
60,4.206453670864825e-09
61,4.206453670864825e-09
62,1.828353676904505e-09
63,1.828353676904505e-09
64,1.828353676904505e-09
65,8.638993639780554e-10
66,8.638993639780554e-10
67,8.638993639780554e-10
68,8.638993639780554e-10
69,8.634458561262304e-10
70,7.750386711780626e-10
71,7.750386711780626e-10
72,1.0724162058732659e-10
73,1.0724162058732659e-10
74,1.0724162058732659e-10
75,1.0724162058732659e-10
76,1.0724162058732659e-10
77,1.0724162058732659e-10
78,1.0724162058732659e-10
79,1.0724162058732659e-10
80,1.0724162058732659e-10
81,1.0724162058732659e-10
82,2.1831809887920783e-11
83,2.1831809887920783e-11
84,1.6134744025968623e-11
85,6.666756408762899e-12
86,6.666756408762899e-12
87,6.666756408762899e-12
88,1.0566270113015633e-12
89,1.1899258051093044e-13
90,1.1899258051093044e-13
91,1.1899258051093044e-13
92,1.1899258051093044e-13
93,1.1899258051093044e-13
94,1.1899258051093044e-13
95,1.1899258051093044e-13
