iteration,best_fitness
0,0.779976538024035
1,0.30600453242166725
2,0.07241412910573886
3,0.07241412910573886
4,0.07241412910573886
5,0.07241412910573886
6,0.020949477419640827
7,0.010179764943312707
8,0.010179764943312707
9,0.0018598096239978892
10,0.0018598096239978892
11,0.0018598096239978892
12,0.0018598096239978892
13,0.0007326544816519281
14,0.0007326544816519281
15,8.71754295569161e-05
16,8.71754295569161e-05
17,8.71754295569161e-05
18,8.71754295569161e-05
19,8.71754295569161e-05
20,8.71754295569161e-05
21,4.649860071039596e-05
22,4.649860071039596e-05
23,4.649860071039596e-05
24,4.649860071039596e-05
25,4.649860071039596e-05
26,4.649860071039596e-05
27,4.649860071039596e-05
28,4.649860071039596e-05
29,2.168011307723032e-05
30,2.168011307723032e-05
31,2.168011307723032e-05
32,2.168011307723032e-05
33,1.829809765822065e-05
34,1.7719724489094361e-06
35,9.200601565526766e-07
36,9.200601565526766e-07
37,1.3203037598465532e-07
38,1.3203037598465532e-07
39,1.3203037598465532e-07
40,1.3203037598465532e-07
41,1.3203037598465532e-07
42,1.3203037598465532e-07
43,1.3203037598465532e-07
44,1.3203037598465532e-07
45,1.3203037598465532e-07
46,1.3203037598465532e-07
47,1.3203037598465532e-07
48,1.3203037598465532e-07
49,1.3203037598465532e-07
50,1.3203037598465532e-07
51,1.0859615363267803e-07
52,3.571378600588145e-08
53,3.571378600588145e-08
54,3.4682543343120656e-08
55,5.810599680677497e-09
56,5.810599680677497e-09
57,5.810599680677497e-09
58,2.2892738976765587e-09
59,2.2892738976765587e-09
60,2.2892738976765587e-09
61,2.2892738976765587e-09
62,2.2892738976765587e-09
63,2.2892738976765587e-09
64,1.36963253158797e-09
65,1.36963253158797e-09
66,7.942008918366529e-10
67,7.942008918366529e-10
68,7.942008918366529e-10
69,4.506215577015635e-10
70,4.506215577015635e-10
71,4.506215577015635e-10
72,4.506215577015635e-10
73,4.506215577015635e-10
74,4.506215577015635e-10
75,4.687882290821819e-11
76,4.687882290821819e-11
77,4.687882290821819e-11
78,4.687882290821819e-11
79,4.687882290821819e-11
80,3.3542993865954656e-11
81,3.3542993865954656e-11
82,3.3542993865954656e-11
83,3.3542993865954656e-11
84,3.3542993865954656e-11
85,3.3542993865954656e-11
86,4.297070334238969e-12
87,4.297070334238969e-12
88,4.297070334238969e-12
89,4.297070334238969e-12
90,4.297070334238969e-12
91,4.297070334238969e-12
92,9.137971649927564e-13
93,9.137971649927564e-13
94,9.137971649927564e-13
95,9.137971649927564e-13
96,9.137971649927564e-13
97,9.137971649927564e-13
98,9.137971649927564e-13
99,9.137971649927564e-13
100,9.137971649927564e-13
101,9.137971649927564e-13
102,7.763633814172014e-13
103,7.763633814172014e-13
104,7.763633814172014e-13
105,7.763633814172014e-13
